# R,G,B per-pixel gain multiplier
1.053274,1.045337,1.040352
1.052651,1.039365,1.038845
1.048739,1.044956,1.039049
1.054540,1.041775,1.043372
1.055648,1.038629,1.039940
1.055897,1.042025,1.041458
1.051550,1.039315,1.042082
1.050814,1.042382,1.040883
1.050340,1.042743,1.038001
1.049933,1.041648,1.041610
1.045188,1.039464,1.039699
1.049235,1.038926,1.038025
1.046723,1.043000,1.041158
1.049983,1.039929,1.039668
1.047348,1.037770,1.037950
1.048245,1.041862,1.038881
1.045870,1.038561,1.039028
1.052204,1.040149,1.036891
1.046608,1.038612,1.039447
1.049509,1.038612,1.037794
1.046017,1.040305,1.036928
1.046400,1.039070,1.036812
1.047623,1.040233,1.038033
1.043943,1.036363,1.037295
1.047505,1.037073,1.035486
1.048888,1.038749,1.036256
1.045275,1.038640,1.039222
1.046341,1.037403,1.034928
1.044550,1.035854,1.035317
1.046379,1.035946,1.034678
1.045509,1.038390,1.033349
1.045678,1.037962,1.035045
1.041038,1.035510,1.034562
1.043404,1.034740,1.033793
1.044327,1.032594,1.034392
1.046485,1.033409,1.034063
1.046366,1.031746,1.033254
1.046907,1.034834,1.035469
1.043415,1.031797,1.036074
1.044885,1.031305,1.031984
1.041579,1.029892,1.033030
1.044352,1.030328,1.030871
1.045085,1.034870,1.033960
1.042293,1.033361,1.031826
1.042061,1.030299,1.032028
1.041573,1.027472,1.035140
1.039434,1.028849,1.033263
1.037796,1.036667,1.031914
1.037968,1.029411,1.031167
1.038452,1.033988,1.028398
1.038708,1.029765,1.028392
1.038072,1.031350,1.031567
1.038912,1.028314,1.028981
1.041410,1.030184,1.031151
1.041925,1.025789,1.026951
1.040338,1.030175,1.027962
1.036439,1.024324,1.023340
1.039634,1.024536,1.027320
1.036492,1.022527,1.023456
1.036384,1.022034,1.022946
1.039314,1.018279,1.020677
1.036213,1.019052,1.021442
1.032029,1.017466,1.016671
1.033236,1.018587,1.017566
1.036883,1.018704,1.016631
1.035193,1.018964,1.016183
1.031307,1.013889,1.013315
1.029647,1.014137,1.013696
1.023456,1.010892,1.014318
1.025121,1.013993,1.013050
1.021477,1.011185,1.012648
1.026048,1.012362,1.011878
1.023400,1.011050,1.013714
1.023879,1.015450,1.013208
1.020059,1.012051,1.013109
1.022285,1.010159,1.012521
1.019797,1.011726,1.010428
1.021239,1.011174,1.012170
1.017944,1.013257,1.009795
1.019480,1.011361,1.011209
1.024916,1.011269,1.011282
1.021084,1.009837,1.012646
1.016938,1.008806,1.006817
1.019862,1.011436,1.008480
1.020809,1.009169,1.010129
1.022691,1.009902,1.009258
1.016774,1.006928,1.007754
1.019201,1.009084,1.009265
1.018635,1.008721,1.009360
1.022875,1.006403,1.008956
1.018182,1.007691,1.008532
1.022532,1.001978,1.006055
1.018720,1.007768,1.008707
1.019521,1.007710,1.005459
1.021842,1.006451,1.005081
1.017385,1.006217,1.008185
1.019106,1.004313,1.007401
1.017010,1.003835,1.007473
1.018205,1.005369,1.007596
1.019327,1.004408,1.007751
1.019961,1.007153,1.003483
1.020528,1.006611,1.007491
1.016695,1.003626,1.004697
1.017832,1.004067,1.003098
1.019273,1.002254,1.004929
1.021431,1.004938,1.002836
1.016917,1.005764,1.004390
1.021230,1.002540,1.006959
1.018227,1.004710,1.003489
1.017005,1.000662,1.004874
1.018443,1.006288,1.001338
