# R,G,B per-pixel gain multiplier
1.044203,1.043275,1.026347
1.040924,1.046908,1.028316
1.042605,1.049818,1.028466
1.046661,1.046850,1.025934
1.045005,1.049546,1.031116
1.043041,1.047956,1.026845
1.046528,1.048989,1.026847
1.046449,1.053628,1.027684
1.047464,1.049477,1.027315
1.048050,1.049740,1.028104
1.048472,1.052391,1.026035
1.052348,1.053678,1.027993
1.051997,1.056679,1.028784
1.053876,1.051876,1.027285
1.051716,1.044325,1.027472
1.045732,1.042157,1.030045
1.042541,1.032012,1.031145
1.032933,1.031456,1.031400
1.031482,1.027571,1.033508
1.033360,1.030507,1.031720
1.035305,1.030875,1.031067
1.035192,1.033491,1.033963
1.038459,1.032683,1.033119
1.040634,1.030578,1.034587
1.037723,1.033285,1.033131
1.039892,1.033994,1.033247
1.038753,1.032618,1.032240
1.037948,1.033598,1.034684
1.035607,1.033162,1.033135
1.033446,1.032097,1.034229
1.037475,1.033399,1.035226
1.037584,1.035102,1.036734
1.034628,1.039174,1.035502
1.038578,1.038223,1.038636
1.036379,1.035806,1.039703
1.034626,1.035449,1.036560
1.037802,1.035608,1.036518
1.038467,1.034384,1.034680
1.036560,1.035581,1.037358
1.038246,1.037446,1.037895
1.037500,1.037080,1.039026
1.039209,1.034358,1.034709
1.038092,1.033877,1.036346
1.040197,1.036327,1.038875
1.039484,1.034434,1.037140
1.041449,1.040341,1.036062
1.041594,1.038284,1.041941
1.043939,1.039578,1.037564
1.041350,1.035317,1.041598
1.042187,1.040594,1.038880
1.040920,1.036924,1.039284
1.041104,1.035540,1.041600
1.043258,1.041912,1.039263
1.045580,1.041382,1.040122
1.046016,1.038956,1.040933
1.045913,1.039050,1.038556
1.044220,1.042287,1.037948
1.043854,1.035913,1.038565
1.045007,1.037561,1.036341
1.043886,1.042240,1.038691
1.046626,1.040367,1.037267
1.045156,1.042791,1.039497
1.046070,1.042558,1.040264
1.047320,1.041588,1.043000
1.046602,1.041087,1.041133
1.048410,1.038876,1.044484
1.046328,1.045717,1.043012
1.049202,1.041847,1.042771
1.048131,1.043388,1.043181
1.049163,1.039210,1.043697
1.050011,1.043722,1.039645
1.049519,1.042066,1.042795
1.051074,1.044241,1.043719
1.049757,1.042658,1.044641
1.053442,1.044608,1.044303
1.050704,1.045876,1.041829
1.050920,1.045649,1.043800
1.051753,1.043246,1.044661
1.050353,1.044434,1.042381
1.048506,1.040138,1.043483
1.048808,1.043198,1.039746
1.053401,1.042070,1.042890
1.047540,1.041970,1.042694
1.048636,1.043117,1.041114
1.049509,1.046979,1.040037
1.050308,1.042464,1.041924
1.051013,1.043571,1.041327
1.054513,1.044306,1.040170
1.053292,1.044698,1.040820
1.055000,1.041911,1.038343
1.054002,1.045485,1.040276
1.053258,1.039294,1.038783
1.049275,1.045070,1.039030
1.055174,1.041772,1.043505
1.056189,1.038590,1.039942
1.056530,1.042106,1.041436
1.052091,1.039517,1.042121
1.051418,1.042490,1.040873
1.051015,1.042783,1.038202
1.050566,1.041762,1.041610
1.045820,1.039388,1.039861
1.049702,1.038916,1.037824
1.047371,1.042955,1.041271
1.050592,1.040017,1.039611
1.047860,1.037903,1.037906
1.048917,1.041986,1.038868
1.046362,1.038615,1.038992
1.052754,1.040184,1.036888
1.047116,1.038637,1.039438
1.050174,1.038626,1.037674
1.046665,1.040374,1.036921
1.046923,1.039069,1.036714
1.048198,1.040299,1.038067
1.044614,1.036446,1.037263
1.048139,1.037189,1.035512
1.049563,1.038832,1.036246
1.045857,1.038757,1.039357
1.046883,1.037426,1.034948
1.045122,1.035941,1.035343
1.047009,1.035958,1.034680
1.046037,1.038499,1.033331
1.046234,1.038005,1.035015
1.041594,1.035539,1.034417
1.044078,1.034883,1.033620
1.044921,1.032493,1.034310
1.046988,1.033430,1.034081
1.046915,1.031954,1.033286
1.047622,1.034943,1.035537
1.043991,1.031826,1.036162
1.045352,1.031375,1.031998
1.042124,1.029958,1.032956
1.045059,1.030337,1.030755
1.045714,1.034906,1.033907
1.042859,1.033541,1.031666
1.042655,1.030469,1.031932
1.042234,1.027388,1.035078
1.040064,1.028814,1.033163
1.038517,1.036686,1.031930
1.038638,1.029534,1.031345
1.039019,1.034210,1.028377
1.039217,1.029807,1.028375
1.038671,1.031819,1.031464
1.039660,1.028498,1.029127
1.042291,1.030317,1.031327
1.042738,1.026152,1.027151
1.041253,1.030493,1.028155
1.037351,1.024531,1.023450
1.040567,1.024929,1.027429
1.037421,1.022783,1.023461
1.037104,1.022234,1.023044
1.040190,1.018413,1.020772
1.036972,1.019239,1.021477
1.032662,1.017639,1.016601
1.033842,1.018755,1.017510
1.037553,1.018931,1.016500
1.035774,1.019100,1.016003
1.031945,1.013914,1.013158
1.030213,1.014120,1.013413
1.023939,1.010880,1.014262
1.025608,1.014059,1.012756
1.021917,1.011130,1.012491
1.026603,1.012321,1.011551
1.023753,1.011027,1.013571
1.024396,1.015448,1.012820
1.020587,1.012102,1.012863
1.022699,1.010137,1.012250
1.020247,1.011625,1.010167
1.021754,1.011012,1.011745
1.018288,1.013252,1.009422
1.019899,1.011318,1.010903
1.025351,1.011201,1.010954
1.021499,1.009763,1.012421
1.017360,1.008719,1.006341
1.020374,1.011324,1.008106
1.021247,1.009208,1.009768
1.023111,1.009751,1.008825
1.017086,1.006775,1.007299
1.019592,1.008900,1.008822
1.019075,1.008645,1.008822
1.023342,1.006242,1.008669
1.018554,1.007525,1.007964
1.022876,1.001766,1.005569
1.019149,1.007607,1.008249
1.019904,1.007500,1.004992
1.022266,1.006225,1.004601
1.017729,1.006176,1.007738
1.019471,1.004171,1.006922
1.017405,1.003598,1.006993
1.018593,1.005268,1.007282
1.019734,1.004312,1.007309
1.020337,1.006963,1.003000
1.020924,1.006557,1.006969
1.016979,1.003374,1.004196
1.018112,1.003891,1.002467
1.019660,1.001969,1.004546
1.021843,1.004766,1.002315
1.017198,1.005677,1.003836
1.021689,1.002229,1.006554
1.018520,1.004457,1.002940
1.017380,1.000445,1.004421
1.018770,1.006010,1.000789
1.017298,1.002877,1.002819
1.018878,1.003635,1.005459
1.019596,1.001439,1.001928
1.017585,1.001655,1.003195
1.015700,1.000046,0.999178
1.016752,0.999462,1.000523
1.016328,0.998606,1.001725
1.015184,1.001253,1.000918
1.019034,1.001440,1.003211
1.015027,1.001051,0.996839
1.018036,1.002048,1.000724
1.015135,1.001365,0.999654
1.019487,0.995386,1.000761
1.014442,0.996622,1.000952
1.013792,0.999826,1.001762
1.012866,0.998993,1.002893
1.015590,1.000547,0.997989
1.014265,0.997070,0.999998
1.012395,1.007252,1.001967
1.009042,1.005092,1.003071
1.013652,1.005520,1.004110
1.013304,1.004403,1.006819
1.013293,1.004220,1.007323
1.017160,1.002033,1.010883
1.012322,1.000873,1.015313
1.014611,1.001201,1.014465
1.014125,1.002083,1.015304
1.011650,1.000534,1.016419
1.012234,1.002364,1.015365
1.011182,1.002016,1.013076
1.014558,1.000291,1.014197
1.012037,1.006337,1.009331
1.013449,1.004578,1.007218
1.012690,1.001861,1.002559
1.012944,1.000979,0.999388
1.012287,0.996840,0.994948
1.013159,0.997485,0.991814
1.010405,0.996399,0.994311
1.012177,0.997935,0.994566
1.008610,0.993487,0.995636
1.012846,0.996212,0.994870
1.012053,0.994639,0.996018
1.008317,0.994061,0.994460
1.009495,0.994032,0.996638
1.009127,0.994138,0.994263
1.011145,0.993325,0.993256
1.009661,0.995950,0.994568
1.007757,0.991898,0.994184
1.009732,0.996232,0.994628
1.012569,0.993354,0.994448
1.012609,0.995476,0.993586
1.011835,0.998268,0.992657
1.011758,0.993589,0.992068
1.007120,0.993180,0.991977
1.012380,0.993345,0.993888
1.008934,0.992329,0.991558
1.009735,0.991405,0.992220
1.007304,0.992640,0.989636
1.009132,0.994482,0.991351
1.007007,0.995295,0.992732
1.006993,0.992772,0.991035
1.006071,0.992493,0.990999
1.006775,0.990110,0.989420
1.006725,0.994899,0.987252
1.010208,0.992807,0.989855
1.010428,0.989790,0.989483
1.010760,0.990759,0.990779
1.008523,0.990038,0.990345
1.007540,0.996070,0.990318
1.007521,0.991441,0.986758
1.006690,0.986025,0.989322
1.009596,0.991831,0.989181
1.006935,0.994785,0.989975
1.005890,0.991801,0.987305
1.003682,0.988639,0.987086
1.009260,0.988881,0.987348
1.006551,0.988719,0.991239
1.005826,0.990327,0.986070
1.006017,0.989040,0.988092
1.005560,0.988443,0.990794
1.006416,0.992091,0.989696
1.000482,0.989547,0.987712
1.006305,0.990347,0.988331
1.002887,0.987925,0.988980
1.005540,0.989395,0.986831
1.008096,0.988463,0.988664
1.007840,0.991326,0.989104
1.006200,0.989313,0.987297
1.008642,0.988475,0.989940
1.005526,0.987783,0.988120
1.005965,0.990256,0.986214
1.007554,0.988252,0.986271
1.008297,0.990331,0.988534
1.009503,0.988894,0.985599
1.008982,0.989216,0.989329
1.010216,0.987068,0.987916
1.008976,0.986422,0.985861
1.006098,0.989859,0.987049
1.007213,0.988152,0.986363
1.004333,0.988382,0.989135
1.007145,0.985976,0.986206
1.004590,0.988755,0.987732
1.005152,0.986939,0.985738
1.007113,0.985414,0.987323
1.005810,0.986894,0.983099
1.006024,0.985775,0.984928
1.007465,0.983982,0.987428
1.007573,0.986065,0.986198
1.006626,0.986047,0.986469
1.002856,0.982473,0.985453
1.005879,0.983287,0.986595
1.003123,0.980501,0.986289
1.012408,0.984856,0.988317
1.005035,0.985190,0.985442
1.005557,0.984323,0.987261
1.002230,0.984115,0.984868
1.006659,0.984564,0.984119
1.004965,0.983211,0.984324
1.006015,0.983685,0.984334
1.004946,0.982856,0.983103
1.007760,0.986007,0.985350
1.008431,0.982776,0.985363
1.007316,0.982703,0.984837
1.002064,0.980398,0.985244
1.004407,0.983052,0.986431
1.005802,0.982695,0.983316
1.004013,0.981397,0.984911
1.005437,0.979478,0.982755
1.006580,0.981921,0.984355
1.002275,0.981007,0.984235
1.003078,0.977205,0.983805
1.002398,0.983081,0.984244
1.002119,0.980956,0.983715
1.001862,0.978420,0.983669
1.004096,0.982707,0.986195
0.999891,0.981637,0.985072
1.000515,0.979435,0.983606
0.999237,0.985121,0.984460
1.003193,0.982146,0.982721
1.003387,0.982669,0.985285
1.005093,0.981628,0.985993
1.003747,0.982821,0.982990
1.005498,0.981678,0.985611
1.004949,0.980079,0.985211
1.006969,0.982795,0.983002
1.001311,0.982881,0.985163
1.000712,0.978621,0.986021
1.001860,0.980891,0.984044
1.001339,0.982326,0.985089
1.000812,0.977984,0.983632
1.005048,0.979957,0.984826
1.001188,0.978068,0.982005
1.003071,0.980750,0.980720
1.000795,0.981860,0.981102
1.001480,0.978072,0.983587
1.002246,0.978665,0.982277
1.003909,0.980045,0.984816
1.002411,0.980015,0.982067
1.000666,0.977955,0.981671
1.000654,0.980591,0.981402
1.000255,0.980017,0.982654
1.002940,0.978129,0.981786
1.001313,0.978081,0.980299
1.001823,0.977724,0.979542
1.001819,0.977176,0.983080
1.000669,0.978730,0.981753
1.000029,0.979228,0.981976
0.998357,0.979302,0.981524
0.999270,0.976400,0.981108
0.998924,0.980133,0.983094
0.999083,0.981028,0.981442
1.001001,0.977478,0.983634
1.003219,0.978651,0.981493
1.001047,0.974849,0.981677
1.003575,0.976409,0.980434
1.000034,0.974596,0.979814
1.000843,0.974985,0.981531
0.999924,0.977579,0.978396
0.998650,0.976333,0.979954
0.999492,0.975599,0.980129
1.002461,0.974943,0.982234
0.998489,0.976406,0.981046
1.000723,0.979868,0.979366
0.996479,0.976346,0.981178
0.998005,0.977415,0.979061
1.001241,0.976661,0.978269
0.998046,0.978898,0.980306
0.998973,0.976620,0.980214
1.000235,0.976772,0.977470
0.997983,0.977942,0.978445
0.998470,0.974018,0.979135
0.997849,0.979281,0.979692
0.999267,0.976460,0.979115
1.001052,0.978046,0.977561
1.003019,0.972821,0.978001
0.997717,0.975857,0.979242
0.998496,0.975403,0.978788
0.997172,0.976754,0.978014
1.002723,0.977264,0.978665
0.997255,0.976162,0.978213
1.000115,0.973397,0.974183
0.994311,0.972365,0.976170
0.997844,0.974586,0.973217
0.997657,0.976145,0.977001
0.997196,0.977189,0.979539
0.997583,0.973553,0.980591
0.996710,0.974644,0.983685
0.998869,0.972280,0.988518
0.995108,0.973489,0.995508
0.996982,0.973144,1.007452
0.995462,0.974305,1.012776
0.994577,0.971364,1.017357
0.998881,0.969888,1.021212
0.997532,0.972306,1.019664
0.999371,0.972758,1.015921
0.995061,0.972734,1.011460
0.995813,0.970340,1.007507
0.996736,0.971701,0.998506
0.997192,0.972364,0.996001
0.996320,0.969173,0.989282
0.995328,0.972061,0.982944
