# R,G,B per-pixel dark offset
949.46,656.37,592.85
950.52,647.50,592.96
946.59,648.03,589.50
950.31,648.73,590.16
947.02,647.30,593.28
950.74,647.38,591.37
950.12,649.25,591.39
951.83,650.68,591.46
948.67,647.33,596.85
951.52,650.48,593.06
952.50,658.37,603.07
947.27,649.47,610.53
949.03,648.60,590.17
963.88,646.78,592.99
951.89,652.17,593.32
951.26,646.10,592.06
949.36,646.14,590.91
950.23,651.22,593.40
949.70,647.60,592.41
949.52,647.88,590.05
950.34,647.60,602.36
948.50,649.55,592.68
948.72,648.41,593.68
947.52,650.58,591.94
948.00,647.23,590.17
946.13,647.71,589.21
947.36,647.44,590.37
952.57,648.74,592.60
947.00,647.63,592.04
946.25,646.48,590.06
944.97,649.16,591.68
947.01,643.93,589.30
945.05,646.69,589.97
944.85,649.27,591.60
944.32,652.25,591.48
948.74,651.98,594.04
945.39,646.69,593.01
947.02,648.10,589.29
946.77,645.76,588.30
946.84,647.00,591.56
947.18,646.20,590.75
943.97,647.25,590.99
944.34,646.50,588.62
945.95,646.35,592.39
947.92,647.76,592.23
950.74,646.80,590.81
947.70,646.90,590.30
946.92,644.70,590.58
947.74,647.12,589.14
949.07,646.86,589.32
948.60,650.43,590.84
950.37,645.85,593.36
948.52,644.21,591.06
946.34,646.85,593.26
949.13,646.68,590.85
949.16,645.37,592.29
949.48,644.14,592.51
949.55,649.60,589.25
947.72,647.08,589.06
946.14,658.88,590.49
947.78,647.32,587.35
946.34,648.34,586.59
945.72,645.24,607.01
945.46,649.50,589.88
946.78,648.14,589.79
947.31,645.61,587.19
944.60,648.06,590.71
946.08,645.43,601.25
943.42,648.23,586.93
957.75,646.27,589.09
946.74,646.70,588.17
946.21,645.87,589.57
942.77,644.05,589.46
948.33,643.21,588.95
943.40,643.74,588.43
943.52,644.89,588.98
943.43,645.08,589.22
943.46,647.67,587.42
943.40,646.72,590.09
941.67,646.31,588.65
946.26,645.90,589.64
942.03,643.81,588.42
943.43,647.71,587.75
941.97,643.74,589.85
955.45,647.25,588.03
940.97,645.54,594.47
944.09,645.18,587.68
954.25,644.30,588.44
944.35,644.38,590.57
943.80,645.93,587.89
970.98,645.69,600.05
945.07,645.31,586.21
944.23,645.78,588.53
941.92,644.61,587.54
941.28,644.71,585.49
942.76,643.71,588.33
942.00,646.14,590.96
941.51,646.10,588.98
944.26,645.75,591.53
942.10,643.54,584.84
946.98,642.89,587.61
943.67,644.24,587.43
941.08,644.67,587.83
940.27,644.33,585.74
942.69,641.64,585.42
940.39,643.68,585.60
940.12,642.15,587.98
943.44,642.46,590.16
945.19,645.65,590.45
939.01,644.48,587.51
942.71,644.86,586.54
940.67,644.56,587.73
942.14,645.37,589.11
955.63,645.61,588.93
940.44,642.17,587.90
940.23,643.09,588.28
940.17,642.56,588.09
939.32,641.65,589.50
939.89,643.48,588.31
941.45,643.63,587.32
938.78,648.15,586.22
940.20,643.20,588.44
938.82,642.56,594.74
939.69,640.93,588.26
945.96,642.69,589.31
942.57,643.44,585.60
939.54,643.42,587.43
940.20,641.98,587.82
938.54,643.08,588.24
939.85,643.68,585.78
938.22,639.14,587.20
936.53,640.00,589.25
936.82,643.31,588.19
939.13,641.25,597.69
938.27,644.49,584.92
938.78,642.27,585.67
939.18,651.79,589.98
936.46,640.20,585.19
938.58,641.58,587.01
938.48,642.22,586.81
937.86,644.05,585.63
936.80,641.60,588.44
938.86,648.68,585.34
936.62,641.84,584.66
946.73,639.36,587.45
937.09,641.62,586.31
938.13,641.13,585.25
935.62,645.41,584.45
939.77,641.40,585.18
937.64,641.13,585.58
934.73,638.88,585.10
936.70,642.32,587.16
937.27,640.21,602.70
936.27,639.66,584.85
934.20,639.71,585.54
936.01,641.34,585.73
936.29,639.61,583.87
938.15,654.26,585.76
932.66,641.94,584.77
